n,comparisons,time_ns
3680000,20,2301
3690000,20,2665
3700000,20,2086
3710000,20,2267
3720000,20,2632
3730000,20,2220
3740000,20,2090
3750000,20,2077
3760000,20,2217
3770000,20,2256
3780000,20,2223
3790000,20,2225
3800000,20,2152
3810000,20,2197
3820000,20,1915
3830000,20,2216
3840000,20,2081
3850000,20,2102
3860000,20,2164
3870000,20,2076
3880000,20,2106
3890000,20,2221
3900000,20,2080
3910000,20,2327
3920000,20,1873
3930000,20,2224
3940000,20,2272
3950000,20,2117
3960000,20,2247
3970000,20,2015
3980000,20,2078
3990000,20,2186
4000000,20,2080
4010000,21,2208
4020000,20,2228
4030000,20,2089
4040000,20,2155
4050000,21,2256
4060000,20,2548
4070000,20,3464
4080000,20,2091
4090000,20,2466
4100000,20,2204
4110000,20,2123
4120000,20,2445
4130000,20,2216
4140000,21,3036
4150000,21,2395
4160000,21,2124
4170000,21,2065
4180000,20,2171
4190000,21,3046
4200000,21,2181
4210000,20,2089
4220000,21,2183
4230000,20,2342
4240000,21,2125
4250000,21,2498
4260000,20,2231
4270000,21,2339
4280000,20,2250
4290000,21,2412
4300000,21,2274
4310000,21,2462
4320000,21,1905
4330000,20,2887
4340000,21,2171
4350000,21,2492
4360000,21,2395
4370000,21,2413
4380000,21,2128
4390000,21,2226
4400000,21,2329
4410000,21,2479
4420000,21,2576
4430000,21,2382
4440000,21,2190
4450000,21,2373
4460000,21,2536
4470000,21,2377
4480000,21,2304
4490000,21,2152
4500000,21,2312
4510000,21,2034
4520000,21,2174
4530000,21,2188
4540000,21,2273
4550000,21,2184
4560000,21,2156
4570000,21,2564
4580000,21,2107
4590000,21,2430
4600000,21,2453
4610000,21,2358
4620000,21,2669
4630000,21,2195
4640000,21,2438
4650000,21,2197
4660000,21,2938
4670000,21,2198
4680000,21,2157
4690000,21,2381
4700000,21,2157
4710000,21,2188
4720000,21,2106
4730000,21,2271
4740000,21,2285
4750000,21,2362
4760000,21,2220
4770000,21,2131
4780000,21,2441
4790000,21,2062
4800000,21,2225
4810000,21,2143
4820000,21,2412
4830000,21,2367
4840000,21,2164
4850000,21,2373
4860000,21,2121
4870000,21,2438
4880000,21,2356
4890000,21,2252
4900000,21,2162
4910000,21,2383
4920000,21,2229
4930000,21,2391
4940000,21,2344
4950000,21,2084
4960000,21,2850
4970000,21,2336
4980000,21,2249
4990000,21,2118
5000000,21,2391
5010000,21,2404
5020000,21,2410
5030000,21,2341
5040000,21,2463
5050000,21,2488
5060000,21,2235
5070000,21,2389
5080000,21,2227
5090000,21,2209
5100000,21,2622
5110000,21,2530
5120000,21,2437
5130000,21,2301
5140000,21,2443
5150000,21,2768
5160000,21,2204
5170000,21,2191
5180000,21,2252
5190000,21,3071
5200000,21,2209
5210000,21,2348
5220000,21,2353
5230000,21,2556
5240000,21,2218
5250000,21,2200
5260000,21,2346
5270000,21,2364
5280000,21,2265
5290000,21,2234
5300000,21,2488
5310000,21,2293
5320000,21,2334
5330000,21,2630
5340000,21,2198
5350000,21,3357
5360000,21,2689
5370000,21,2990
5380000,21,2416
5390000,21,2547
5400000,21,2350
5410000,21,2264
5420000,21,2371
5430000,21,2219
5440000,21,3251
5450000,21,2314
5460000,21,2326
5470000,21,2344
5480000,21,2309
5490000,21,2036
5500000,21,2399
5510000,21,2227
5520000,21,2332
5530000,21,2810
5540000,21,2220
5550000,21,2268
5560000,21,2283
5570000,21,2481
5580000,21,2451
5590000,21,2767
5600000,21,4234
5610000,21,2292
5620000,21,2296
5630000,21,2192
5640000,21,2433
5650000,21,2609
5660000,21,2395
5670000,21,2271
5680000,21,2304
5690000,21,2382
5700000,21,2296
5710000,21,2449
5720000,21,2306
5730000,21,2322
