n,comparisons,time_ns
4110000,14,193
4120000,14,183
4130000,13,167
4140000,12,182
4150000,17,198
4160000,12,183
4170000,12,187
4180000,12,160
4190000,13,175
4200000,12,183
4210000,13,193
4220000,15,206
4230000,13,176
4240000,13,175
4250000,13,180
4260000,12,174
4270000,13,193
4280000,13,200
4290000,14,200
4300000,13,198
4310000,12,176
4320000,13,222
4330000,14,199
4340000,13,187
4350000,13,227
4360000,13,176
4370000,12,180
4380000,13,174
4390000,12,167
4400000,13,251
4410000,12,172
4420000,14,175
4430000,13,177
4440000,12,210
4450000,12,221
4460000,12,176
4470000,12,187
4480000,13,184
4490000,12,185
4500000,13,197
4510000,13,184
4520000,14,194
4530000,12,172
4540000,13,208
4550000,16,199
4560000,12,173
4570000,13,182
4580000,12,165
4590000,15,204
4600000,13,175
4610000,14,242
4620000,12,184
4630000,13,193
4640000,12,176
4650000,13,183
4660000,14,184
4670000,13,175
4680000,12,221
4690000,13,186
4700000,13,180
4710000,14,187
4720000,13,194
4730000,13,174
4740000,14,168
4750000,12,226
4760000,14,204
4770000,13,190
4780000,13,194
4790000,12,194
4800000,13,190
4810000,13,188
4820000,12,215
4830000,14,227
4840000,13,176
4850000,13,191
4860000,13,193
4870000,13,169
4880000,12,220
4890000,13,236
4900000,12,171
4910000,13,178
4920000,13,191
4930000,12,166
4940000,12,165
4950000,14,205
4960000,12,172
4970000,12,162
4980000,12,200
4990000,13,194
5000000,13,211
5010000,13,185
5020000,13,184
5030000,12,191
5040000,13,181
5050000,13,414
5060000,13,186
5070000,12,165
5080000,12,177
5090000,13,175
5100000,13,174
5110000,12,194
5120000,13,177
5130000,14,186
5140000,13,185
5150000,12,192
5160000,12,178
5170000,14,190
5180000,12,172
5190000,12,178
5200000,12,176
5210000,12,181
5220000,12,194
5230000,14,206
5240000,12,195
5250000,12,179
5260000,13,174
5270000,13,175
5280000,13,197
5290000,13,227
5300000,12,179
5310000,13,171
5320000,13,163
5330000,13,183
5340000,12,225
5350000,14,176
5360000,12,217
5370000,13,178
5380000,12,201
5390000,13,182
5400000,12,215
5410000,12,184
5420000,12,210
5430000,13,163
5440000,13,201
5450000,13,185
5460000,12,227
5470000,13,206
5480000,13,385
5490000,12,181
5500000,13,187
5510000,13,174
5520000,12,166
5530000,12,177
5540000,12,198
5550000,13,175
5560000,12,171
5570000,13,176
5580000,12,175
5590000,12,186
5600000,12,169
5610000,13,176
5620000,13,176
5630000,13,167
5640000,12,193
5650000,13,188
5660000,13,174
5670000,13,186
5680000,12,167
5690000,13,187
5700000,12,164
5710000,13,193
5720000,13,171
5730000,13,186
5740000,13,185
5750000,14,180
5760000,12,172
5770000,13,202
5780000,12,166
5790000,13,209
5800000,13,196
5810000,12,191
5820000,12,177
5830000,13,300
5840000,13,171
5850000,13,189
5860000,13,178
5870000,13,178
5880000,12,167
5890000,12,170
5900000,12,164
5910000,14,173
5920000,12,179
5930000,13,177
5940000,13,178
5950000,14,198
5960000,13,227
5970000,13,185
5980000,13,178
5990000,13,179
6000000,13,172
6010000,13,165
6020000,12,178
6030000,13,179
6040000,13,233
6050000,12,176
6060000,12,194
6070000,12,175
6080000,13,186
6090000,13,185
6100000,13,185
6110000,13,177
6120000,13,183
6130000,12,205
6140000,13,183
6150000,13,193
6160000,12,185
6170000,12,178
6180000,13,307
6190000,13,189
6200000,13,188
6210000,14,174
6220000,12,179
6230000,13,175
6240000,13,257
6250000,13,182
6260000,13,323
6270000,13,304
6280000,13,172
6290000,13,301
6300000,13,266
6310000,12,217
6320000,12,312
6330000,12,165
6340000,13,246
6350000,13,228
6360000,13,292
6370000,13,187
6380000,13,253
6390000,12,311
6400000,13,280
6410000,13,257
6420000,12,288
6430000,12,564
6440000,13,278
6450000,14,345
6460000,12,203
6470000,13,280
6480000,12,310
6490000,13,368
6500000,13,245
6510000,12,585
6520000,13,301
6530000,12,252
6540000,12,167
6550000,14,336
6560000,14,324
6570000,13,287
6580000,13,169
6590000,13,193
6600000,12,170
6610000,13,178
6620000,12,187
6630000,13,171
6640000,12,181
6650000,12,172
6660000,12,195
6670000,13,354
6680000,13,403
6690000,12,325
6700000,13,527
6710000,14,199
6720000,14,222
6730000,13,199
6740000,12,167
6750000,12,183
6760000,14,183
6770000,12,183
6780000,12,206
6790000,13,204
6800000,14,200
6810000,13,284
6820000,12,168
6830000,14,183
6840000,15,215
6850000,12,178
6860000,12,173
6870000,14,240
6880000,12,177
6890000,13,195
6900000,13,183
6910000,13,187
6920000,14,197
6930000,13,195
6940000,13,175
6950000,13,178
6960000,13,195
6970000,12,186
6980000,12,187
6990000,13,190
7000000,13,176
