n,comparisons,time_ns
2950000,1491000,5033773
2960000,1495591,5047731
2970000,1478543,4959402
2980000,1517705,5098949
2990000,1480131,4871413
3000000,1514359,5062836
3010000,1479535,4973311
3020000,1494118,5031884
3030000,1520248,5144433
3040000,1538541,5122330
3050000,1537013,5141629
3060000,1531015,5100661
3070000,1580880,5327388
3080000,1547830,5164457
3090000,1530258,5007903
3100000,1563213,5204459
3110000,1538680,5136736
3120000,1542461,5197204
3130000,1543395,5213969
3140000,1548819,5274970
3150000,1592954,5288321
3160000,1588673,5213246
3170000,1600065,5378485
3180000,1571817,5284111
3190000,1592709,5139478
3200000,1592006,5259231
3210000,1606739,5368332
3220000,1601816,5458765
3230000,1577028,5298400
3240000,1632382,5490510
3250000,1608740,5387624
3260000,1630118,5475560
3270000,1669575,5485436
3280000,1634093,5470471
3290000,1615036,5472287
3300000,1606029,5351775
3310000,1669476,5505935
3320000,1631394,5420871
3330000,1682231,5628232
3340000,1715177,5808152
3350000,1699359,5787284
3360000,1694657,5639361
3370000,1663141,5527597
3380000,1719092,5814438
3390000,1659454,5624369
3400000,1681893,5692951
3410000,1725547,5679105
3420000,1630709,5537877
3430000,1755098,5927143
3440000,1709646,5792710
3450000,1698850,5846430
3460000,1749758,5757326
3470000,1704390,5671959
3480000,1705662,5768048
3490000,1735861,5929449
3500000,1741571,5882933
3510000,1771150,5879772
3520000,1760091,5861362
3530000,1771981,6006756
3540000,1774390,6018460
3550000,1799820,6022313
3560000,1742294,5765312
3570000,1812930,6079133
3580000,1775419,5876959
3590000,1767955,5962549
3600000,1820723,5995131
3610000,1785567,5888392
3620000,1806083,6040148
3630000,1795792,5948173
3640000,1784107,5900456
3650000,1828752,6075846
3660000,1830233,6061277
3670000,1818390,6018001
3680000,1866179,6242775
3690000,1808573,6074150
3700000,1857067,6151820
3710000,1853838,6187551
3720000,1825146,6177462
3730000,1854227,6071778
3740000,1898699,6311868
3750000,1883087,6271068
3760000,1928014,6445289
3770000,1874880,6307013
3780000,1860746,6311537
3790000,1871578,6176388
3800000,1900749,6430045
3810000,1921667,6333945
3820000,1905514,6346760
3830000,1944898,6415674
3840000,1970204,6513155
3850000,1926730,6411426
3860000,1937420,6484500
3870000,1908404,6387073
3880000,1907927,6351677
3890000,1920348,6479021
3900000,1952036,6637771
3910000,1980640,6670218
3920000,1984582,6609592
3930000,1981455,6587638
3940000,1934420,6397414
3950000,1956519,6594433
3960000,1980645,6482110
3970000,1975687,6590280
3980000,1989836,6659143
3990000,1981927,6675743
4000000,2010593,6683909
4010000,2021290,6801806
4020000,2016026,6691170
4030000,2009927,6757112
4040000,2047333,6799436
4050000,2011207,6651865
4060000,2036901,6710522
4070000,2051049,6847152
4080000,2041492,6872571
4090000,2034474,6714156
4100000,2072742,6970099
4110000,2064768,6973435
4120000,2027054,6731667
4130000,2061522,6753304
4140000,2044079,6896926
4150000,2064829,7011008
4160000,2112218,7078555
4170000,2072069,6866634
4180000,2062876,6856175
4190000,2115833,7164142
4200000,2135553,7101585
4210000,2137569,7116341
4220000,2070130,6924629
4230000,2104410,7067573
4240000,2058146,6923329
4250000,2083754,6952412
4260000,2118592,7110474
4270000,2140767,7196922
4280000,2140053,7123567
4290000,2179143,7206574
4300000,2171860,7080418
4310000,2167406,7225810
4320000,2168654,7079403
4330000,2166715,7106272
4340000,2177084,7139466
4350000,2169388,7269295
4360000,2200333,7251045
4370000,2159032,7160911
4380000,2240922,7447272
4390000,2167134,7186080
4400000,2223033,7335697
4410000,2248012,7401026
4420000,2168807,7192262
4430000,2207616,7359125
4440000,2211707,7340004
4450000,2224339,7394818
4460000,2219252,7407623
4470000,2278462,7581301
4480000,2253279,7422821
4490000,2203521,7158979
4500000,2271277,7597875
4510000,2283483,7569740
4520000,2279507,7633159
4530000,2235948,7475189
4540000,2240145,7447839
4550000,2297858,7633675
4560000,2285267,7538082
4570000,2280717,7652541
4580000,2260219,7463553
4590000,2292347,7679803
4600000,2298928,7652886
4610000,2332346,7754632
4620000,2348620,7831969
4630000,2336866,7830624
4640000,2347821,7897220
4650000,2307557,7686219
4660000,2340642,7728860
4670000,2351761,7778540
4680000,2356496,7828619
4690000,2327839,7678913
4700000,2327053,7798813
4710000,2373336,7869491
4720000,2369034,7908205
4730000,2318915,7799115
4740000,2332337,7704572
4750000,2344414,7939729
4760000,2372594,7906758
4770000,2401414,8042515
4780000,2410137,7981721
4790000,2349643,7678225
4800000,2366357,7828602
4810000,2335870,7823733
4820000,2427599,8157265
4830000,2422165,7963733
4840000,2451783,8099077
4850000,2425869,7856205
4860000,2373500,7902272
4870000,2397690,8000805
4880000,2400335,8050364
4890000,2409923,7976375
4900000,2474485,8169774
4910000,2414987,7935022
4920000,2537424,8419850
4930000,2472778,8084318
4940000,2494510,8374932
4950000,2480969,8213150
4960000,2504493,8148811
4970000,2508328,8277282
4980000,2514952,8445376
4990000,2470079,8335309
5000000,2490726,8240550
5010000,2548607,8532084
5020000,2504657,8327838
5030000,2473978,8234115
5040000,2534093,8340276
5050000,2576996,8418670
5060000,2557983,8391161
5070000,2517220,8427291
5080000,2537899,8542963
5090000,2524462,8214300
5100000,2605668,8659535
5110000,2595990,8625938
5120000,2519570,8386692
5130000,2607915,8567470
5140000,2528198,8418796
5150000,2591852,8723177
5160000,2554040,8478441
5170000,2579787,8434875
5180000,2644347,8819054
5190000,2581049,8579411
5200000,2575910,8624061
5210000,2636458,8767947
5220000,2576712,8527434
5230000,2672810,8775920
5240000,2755269,9130401
5250000,2626328,8563113
5260000,2642071,8742840
5270000,2613094,8743536
5280000,2629305,8587026
5290000,2653721,8778348
5300000,2601220,8633587
5310000,2698090,8918464
5320000,2674147,8848591
5330000,2678765,8899497
5340000,2688109,8978983
5350000,2693901,8835178
5360000,2662935,8902645
5370000,2668769,8939437
5380000,2654066,8839007
5390000,2677386,8925649
5400000,2751239,9123289
5410000,2736132,9072888
5420000,2689384,8982610
5430000,2728374,8990715
5440000,2654634,8752539
5450000,2702516,8975090
5460000,2681146,8979977
5470000,2742023,8978684
5480000,2697783,8789034
5490000,2729390,9015686
5500000,2686758,8791522
5510000,2757070,9111594
5520000,2793480,9279737
5530000,2821120,9332732
5540000,2759367,9057098
5550000,2735985,8930004
5560000,2784571,9156767
5570000,2752403,9222469
5580000,2823267,9248673
5590000,2766816,9145110
5600000,2821631,9357310
5610000,2883766,9361079
5620000,2790677,9311521
5630000,2803891,9346893
5640000,2780438,9138152
5650000,2820976,9340163
5660000,2823072,9402774
5670000,2847906,9327347
5680000,2866240,9532471
5690000,2903731,9540460
5700000,2817295,9317317
5710000,2811649,9245529
5720000,2855631,9346603
5730000,2844279,9326578
5740000,2835070,9417224
5750000,2882755,9530648
5760000,2811025,9070164
5770000,2855763,9344267
5780000,2880896,9393615
5790000,2967594,9892303
5800000,2909739,9637969
5810000,2928990,9584501
5820000,2957505,9771017
5830000,2936518,9729709
5840000,2921080,9724588
5850000,2923134,9654311
5860000,2908367,9543712
5870000,2923309,9664748
5880000,2938897,9717482
5890000,2918125,9703898
5900000,2923041,9707505
5910000,2998017,10054315
5920000,2962026,9678136
5930000,2995752,9964111
5940000,2996118,9919141
5950000,2965982,9832605
5960000,3007455,10058249
5970000,3037300,10114807
5980000,2980082,9814888
5990000,2944917,9867952
6000000,3022882,10009497
6010000,2998399,10054217
6020000,3035141,10060803
6030000,2941270,9763162
6040000,2973887,9826587
6050000,3034536,10063824
6060000,3066954,10167889
6070000,3027006,10101773
6080000,3048499,10025073
6090000,3015552,9976857
6100000,3072480,10031257
6110000,3031036,10101937
6120000,3087294,10360442
6130000,3154957,10488303
6140000,2996326,9922065
6150000,3070052,10175305
6160000,3095421,10147033
6170000,3097286,10392609
6180000,3095871,10305425
6190000,3131909,10317258
6200000,3122576,10281144
6210000,3108080,10308190
6220000,3074114,10208143
6230000,3120716,10411459
6240000,3166131,10439489
6250000,3105669,10244342
6260000,3061876,10383314
6270000,3127825,13518746
6280000,3137049,13009628
6290000,3141737,16107939
6300000,3157510,16014040
6310000,3085891,14880670
6320000,3224827,16010149
6330000,3128727,15776145
6340000,3214900,15951459
6350000,3164801,15503297
6360000,3185994,16049315
6370000,3204266,16139277
6380000,3186404,15561243
6390000,3247553,16370204
6400000,3230415,16562275
6410000,3216217,16023621
6420000,3317570,16342656
6430000,3210812,16279057
6440000,3233218,16474325
6450000,3193287,16140963
6460000,3281493,16529184
6470000,3260088,16314712
6480000,3269502,16652341
6490000,3335398,16974170
6500000,3249419,16603969
6510000,3238209,16393736
6520000,3189559,16076100
6530000,3209405,16076992
6540000,3355041,17072528
6550000,3331356,16835907
6560000,3250477,16543584
6570000,3271127,16644680
6580000,3328837,16632213
6590000,3278319,10860960
6600000,3271516,10821036
6610000,3276648,11461131
6620000,3374568,11246177
6630000,3329136,10919564
6640000,3389971,11139575
6650000,3365165,11179427
6660000,3357985,11178546
6670000,3362262,16135051
6680000,3275179,15599788
6690000,3285498,16228088
6700000,3347974,16947610
6710000,3371287,11121131
6720000,3312419,10994555
6730000,3350967,11158215
6740000,3375631,11302113
6750000,3373779,11137608
6760000,3360616,11294538
6770000,3403600,11271964
6780000,3435460,11340338
6790000,3444526,11372100
6800000,3459695,11550280
6810000,3482198,11656991
6820000,3395448,19158065
6830000,3444358,11486140
6840000,3416780,11376937
6850000,3378592,11173628
6860000,3352518,11137724
6870000,3404875,11316437
6880000,3357723,11174423
6890000,3401519,11328428
6900000,3449266,11518786
6910000,3505325,11672446
6920000,3470921,11457114
6930000,3564450,11901903
6940000,3522902,11787233
6950000,3470846,11653978
6960000,3450906,11597412
6970000,3447716,11286324
6980000,3444813,11582519
6990000,3468415,11514980
7000000,3495641,11761243
