n,comparisons,time_ns
4070000,20,1038
4080000,20,928
4090000,20,996
4100000,20,937
4110000,21,1058
4120000,20,965
4130000,20,1047
4140000,21,1445
4150000,21,984
4160000,20,941
4170000,21,956
4180000,21,988
4190000,21,1017
4200000,21,941
4210000,21,959
4220000,21,1009
4230000,20,1044
4240000,21,984
4250000,21,974
4260000,21,1175
4270000,21,1041
4280000,21,983
4290000,21,972
4300000,21,948
4310000,21,945
4320000,21,1027
4330000,21,1032
4340000,21,943
4350000,21,1014
4360000,21,947
4370000,21,1011
4380000,21,975
4390000,21,1015
4400000,21,967
4410000,21,994
4420000,21,978
4430000,21,1108
4440000,21,991
4450000,21,967
4460000,21,1024
4470000,21,1009
4480000,21,998
4490000,21,1014
4500000,21,1119
4510000,21,970
4520000,21,1018
4530000,21,1080
4540000,21,1077
4550000,21,967
4560000,21,992
4570000,21,1047
4580000,21,1087
4590000,21,1351
4600000,21,1023
4610000,21,1446
4620000,21,971
4630000,21,983
4640000,21,985
4650000,21,1110
4660000,21,1155
4670000,21,1013
4680000,21,1012
4690000,21,1013
4700000,21,979
4710000,21,1030
4720000,21,998
4730000,21,985
4740000,21,1408
4750000,21,1660
4760000,21,1013
4770000,21,1029
4780000,21,998
4790000,21,1259
4800000,21,1012
4810000,21,1048
4820000,21,988
4830000,21,1223
4840000,21,1006
4850000,21,1263
4860000,21,996
4870000,21,985
4880000,21,1003
4890000,21,1146
4900000,21,986
4910000,21,1096
4920000,21,957
4930000,21,1047
4940000,21,1016
4950000,21,995
4960000,21,1110
4970000,21,984
4980000,21,1122
4990000,21,993
5000000,21,967
5010000,21,1364
5020000,21,1081
5030000,21,1155
5040000,21,1122
5050000,21,1001
5060000,21,971
5070000,21,1039
5080000,21,998
5090000,21,1293
5100000,21,1018
5110000,21,969
5120000,21,988
5130000,21,1075
5140000,21,1003
5150000,21,1008
5160000,21,985
5170000,21,1029
5180000,21,1066
5190000,21,1003
5200000,21,1332
5210000,21,996
5220000,21,1034
5230000,21,1002
5240000,21,984
5250000,21,1051
5260000,21,1040
5270000,21,1171
5280000,21,1080
5290000,21,1210
5300000,21,993
5310000,21,984
5320000,21,1171
5330000,21,990
5340000,21,1006
5350000,21,1026
5360000,21,1014
5370000,21,1016
5380000,21,1142
5390000,21,1132
5400000,21,1050
5410000,21,1011
5420000,21,1069
5430000,21,1076
5440000,21,1071
5450000,21,1287
5460000,21,999
5470000,21,1000
5480000,21,1320
5490000,21,1030
5500000,21,1026
5510000,21,1029
5520000,21,1112
5530000,21,1007
5540000,21,1262
5550000,21,1363
5560000,21,1097
5570000,21,1089
5580000,21,1038
5590000,21,1144
5600000,21,997
5610000,21,1018
5620000,21,1026
5630000,21,1293
5640000,21,1092
5650000,21,1011
5660000,21,1035
5670000,21,1169
5680000,21,1005
5690000,21,1048
5700000,21,1079
5710000,21,1070
5720000,21,1100
5730000,21,1223
5740000,21,1003
5750000,21,1140
