arquivo,metrica,modelo,equacao,derivada,n_final,taxa_variacao_final,r2_ajustado,rmse
bubblesort_ascending.csv,comparisons,O(n²),y = 5.000000e-01n² + -0.500011n + 0.299748,137429.50000755175,137430,137429.50000755175,1.0,0.24983823874777122
bubblesort_ascending.csv,copies,O(1),y = -0.000000,0.0,137430,0.0,1.0,0.0
bubblesort_ascending.csv,time_ns,O(n²),y = 1.934240e-01n² + -98.859513n + 68965.755949,53065.667228486,137430,53065.667228486,0.9993892132179849,14811970.278247738
bubblesort_descending.csv,comparisons,O(n²),y = 5.000000e-01n² + -0.500011n + 0.299748,137429.50000755175,137430,137429.50000755175,1.0,0.24983823874777122
bubblesort_descending.csv,copies,O(n²),y = 1.000000e+00n² + -1.000016n + 0.071846,274859.000011029,137430,274859.000011029,1.0,0.2053381267645021
bubblesort_descending.csv,time_ns,O(n²),y = 6.225029e-01n² + 258.623050n + -1161505.519426,171359.76580820247,137430,171359.76580820247,0.999905295793955,18918747.65598735
bubblesort_near_ascending_pct.csv,comparisons,O(n²),y = 5.000000e-01n² + -0.500011n + 0.299748,137429.50000755175,137430,137429.50000755175,1.0,0.24983823874777122
bubblesort_near_ascending_pct.csv,copies,O(n²),y = 2.674897e-01n² + -32.842841n + 119001.194311,73489.3788957948,137430,73489.3788957948,0.9999808959084155,3633962.6946056294
bubblesort_near_ascending_pct.csv,time_ns,O(n²),y = 8.571827e-01n² + -3520.446501n + 1532458.190105,232084.7935751902,137430,232084.7935751902,0.9999711287460668,13818105.881449694
bubblesort_near_descending_pct.csv,comparisons,O(n²),y = 5.000000e-01n² + -0.500011n + 0.299748,137429.50000755175,137430,137429.50000755175,1.0,0.24983823874777122
bubblesort_near_descending_pct.csv,copies,O(n²),y = 7.330563e-01n² + -21.086470n + 113687.405606,201466.7696558028,137430,201466.7696558028,0.999998757255212,2542094.6778092547
bubblesort_near_descending_pct.csv,time_ns,O(n²),y = 1.134660e+00n² + -5818.831657n + 1337867.932016,306053.91347416403,137430,306053.91347416403,0.9999785086215565,15635846.870525144
bubblesort_random.csv,comparisons,O(n²),y = 5.000000e-01n² + -0.500011n + 0.299748,137429.50000755175,137430,137429.50000755175,1.0,0.24983823874777122
bubblesort_random.csv,copies,O(n²),y = 5.016388e-01n² + -130.231747n + 353003.722710,137750.19784390528,137430,137750.19784390528,0.9999963805674693,2962771.9503031103
bubblesort_random.csv,time_ns,O(n²),y = 1.342304e+00n² + -3787.694750n + 2602604.645596,365158.08654079365,137430,365158.08654079365,0.9999870931142756,14635608.788192255
heapsort_ascending.csv,comparisons,O(n log n),y = 2.698304e+00nln(n) + -1823.852353,34.62158449380335,137430,34.62158449380335,0.9999898288848532,2866.5618591840544
heapsort_ascending.csv,copies,O(n log n),y = 2.861736e+00nln(n) + -480.334047,36.71856786119681,137430,36.71856786119681,0.9999955618408881,2008.2419759755342
heapsort_ascending.csv,time_ns,O(n²),y = 2.965020e-05n² + 55.679393n + -2929.037820,63.82904567633064,137430,63.82904567633064,0.9981073665764537,73568.25990614531
heapsort_descending.csv,comparisons,O(n log n),y = 2.548633e+00nln(n) + -3400.597097,32.70118108944132,137430,32.70118108944132,0.9999639333425512,5098.612299090234
heapsort_descending.csv,copies,O(n log n),y = 2.610501e+00nln(n) + -2974.945303,33.49500288484288,137430,33.49500288484288,0.999968156463938,4907.105196558041
heapsort_descending.csv,time_ns,O(n²),y = 5.622604e-05n² + 56.971671n + 2696.937596,72.42596156314373,137430,72.42596156314373,0.9984368765263385,71435.45902400253
heapsort_near_ascending_pct.csv,comparisons,O(n log n),y = 2.659970e+00nln(n) + -2219.770069,34.129724016609536,137430,34.129724016609536,0.999986779226716,3221.750814676257
heapsort_near_ascending_pct.csv,copies,O(n log n),y = 2.800595e+00nln(n) + -860.932165,35.93407409084491,137430,35.93407409084491,0.9999971161446775,1584.2427728294258
heapsort_near_ascending_pct.csv,time_ns,O(n log n),y = 7.402395e+00nln(n) + 27425.166627,94.97916359859646,137430,94.97916359859646,0.998006403725858,110204.5530154113
heapsort_near_descending_pct.csv,comparisons,O(n log n),y = 2.588090e+00nln(n) + -2901.928866,33.20745219376857,137430,33.20745219376857,0.9999757954252652,4241.479410324676
heapsort_near_descending_pct.csv,copies,O(n log n),y = 2.674783e+00nln(n) + -2056.542603,34.31979371625851,137430,34.31979371625851,0.999988322139206,3044.7856795096814
